,degreeID,n,rank
111,"1.1199,18",9,2302
119,"1.1299,17",9,2303
2209,"50.0505,7",9,2304
2952,"52.1902,7",9,2305
2428,"51.0812,5",9,2306
2945,"52.1802,7",9,2307
2460,"51.0915,5",9,2308
1393,"3.0506,17",9,2309
2529,"51.2001,17",9,2310
2102,"5.012,7",9,2311
891,"19.0201,7",9,2312
3036,"9.0905,17",9,2313
1781,"42.2708,17",9,2314
2294,"50.091,17",9,2315
2776,"52.0202,17",8,2316
2152,"5.021,17",8,2317
616,"14.3801,7",8,2318
1804,"42.2805,5",8,2319
1019,"23.1399,17",8,2320
503,"14.0601,17",8,2321
2513,"51.1505,18",8,2322
1731,"40.0809,5",8,2323
967,"22.0202,18",8,2324
845,"16.1102,7",8,2325
549,"14.1004,5",8,2326
1369,"3.0204,17",8,2327
876,"16.1602,7",8,2328
2462,"51.0916,7",8,2329
2349,"51.0203,18",8,2330
1267,"26.1308,17",8,2331
1079,"26.0209,5",8,2332
1264,"26.1307,17",8,2333
770,"16.0302,17",8,2334
162,"11.0201,17",8,2335
1403,"3.051,5",8,2336
2828,"52.041,5",8,2337
1469,"30.2201,7",8,2338
705,"15.1102,17",8,2339
2301,"50.0912,18",8,2340
724,"15.1399,5",8,2341
1031,"23.1499,5",8,2342
2128,"5.0199,17",8,2343
2113,"5.0125,7",8,2344
2799,"52.0211,17",8,2345
1443,"30.1301,17",7,2346
1293,"26.1599,5",7,2347
1508,"31.0302,5",7,2348
2498,"51.1401,18",7,2349
2648,"51.251,7",7,2350
2124,"5.0133,7",7,2351
1430,"30.1001,17",7,2352
844,"16.1102,5",7,2353
2137,"5.0202,17",7,2354
2412,"51.0719,5",7,2355
2532,"51.2001,7",7,2356
2406,"51.0711,5",7,2357
1495,"30.3301,17",7,2358
2421,"51.0806,5",7,2359
2649,"51.2511,17",7,2360
2667,"51.3201,18",7,2361
2549,"51.2009,5",7,2362
2429,"51.0814,5",7,2363
1473,"30.2301,17",7,2364
767,"16.0301,17",7,2365
658,"15.0499,5",7,2366
2448,"51.091,7",7,2367
2368,"51.0504,7",7,2368
1940,"45.0102,5",7,2369
1094,"26.0307,17",7,2370
32,"1.0307,7",7,2371
57,"1.0801,17",7,2372
68,"1.0902,7",7,2373
86,"1.1002,17",7,2374
2977,"54.0102,17",7,2375
2321,"50.1002,17",7,2376
1262,"26.1306,17",7,2377
1716,"40.0802,17",7,2378
2852,"52.0806,5",7,2379
2866,"52.0904,17",7,2380
122,"1.9999,17",7,2381
1703,"40.0604,5",7,2382
1697,"40.0602,17",7,2383
1686,"40.0509,17",7,2384
2291,"50.0908,18",7,2385
1670,"40.0502,17",7,2386
52,"1.0607,7",7,2387
253,"13.0406,5",7,2388
11,"1.0104,7",7,2389
1169,"26.0805,5",7,2390
2745,"51.3819,7",7,2391
578,"14.2201,17",7,2392
999,"22.0303,5",7,2393
3043,"9.0908,17",7,2394
992,"22.0299,18",7,2395
1538,"38.0102,7",7,2396
2234,"50.0701,17",6,2397
2509,"51.1504,17",6,2398
1699,"40.0602,7",6,2399
1175,"26.0807,5",6,2400
920,"19.0604,7",6,2401
1681,"40.0507,5",6,2402
2370,"51.0506,17",6,2403
2930,"52.1499,17",6,2404
2477,"51.1008,5",6,2405
2197,"50.0499,17",6,2406
1156,"26.0799,17",6,2407
775,"16.0303,7",6,2408
49,"1.0605,7",6,2409
848,"16.1103,7",6,2410
916,"19.0601,17",6,2411
2111,"5.0125,17",6,2412
1184,"26.0902,7",6,2413
1188,"26.0904,17",6,2414
2059,"5.0101,17",6,2415
2625,"51.2313,7",6,2416
2541,"51.2005,17",6,2417
29,"1.0304,7",6,2418
50,"1.0606,5",6,2419
63,"1.0899,7",6,2420
1527,"31.9999,17",6,2421
679,"15.0614,5",6,2422
2849,"52.0804,17",6,2423
2131,"5.02,17",6,2424
961,"22.0101,17",6,2425
2329,"50.1099,7",6,2426
2390,"51.0699,7",6,2427
1472,"30.2202,7",6,2428
2149,"5.0209,17",6,2429
457,"13.1333,7",6,2430
672,"15.0607,7",6,2431
513,"14.0799,5",6,2432
1989,"45.0799,17",6,2433
1489,"30.3101,17",6,2434
1555,"38.0205,5",6,2435
956,"22.0,17",6,2436
287,"13.0699,5",6,2437
1245,"26.1201,17",6,2438
2637,"51.2503,17",6,2439
1080,"26.0209,7",6,2440
1076,"26.0207,17",6,2441
2883,"52.1002,17",6,2442
1871,"43.0118,7",6,2443
344,"13.1199,17",6,2444
539,"14.0999,17",5,2445
2732,"51.3815,18",5,2446
2533,"51.2002,17",5,2447
1573,"39.0401,18",5,2448
1986,"45.0702,17",5,2449
3031,"9.0903,17",5,2450
1537,"38.0102,5",5,2451
2527,"51.1899,5",5,2452
1557,"38.0206,17",5,2453
2708,"51.3807,18",5,2454
1952,"45.0299,17",5,2455
622,"14.4001,7",5,2456
256,"13.0407,18",5,2457
2569,"51.2205,18",5,2458
2791,"52.0207,7",5,2459
2044,"49.0101,17",5,2460
762,"16.0201,5",5,2461
